"title","link","description","pub_date"
"New Longer-Range Tesla Model Y Keeps Competitive Price And Lease - Forbes","https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYnJvb2tlY3JvdGhlcnMvMjAyNC8wNS8wNS9sb25nZXItcmFuZ2UtdGVzbGEtbW9kZWwteS1rZWVwcy1jb21wZXRpdGl2ZS1wcmljZS1sZWFzZS_SAQA?oc=5","New Longer-Range Tesla Model Y Keeps Competitive Price And Lease  Forbes","Sun, 05 May 2024 07:00:00 GMT"
"Tesla China planned to cut Model Y production by at least 20% in March-June: Reuters - TESLARATI","https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtY2hpbmEtcGxhbm5lZC1jdXQtbW9kZWwteS1vdXRwdXQtMjAtcGVyY2VudC1tYXJjaC1qdW5lLXJldXRlcnMv0gFjaHR0cHM6Ly93d3cudGVzbGFyYXRpLmNvbS90ZXNsYS1jaGluYS1wbGFubmVkLWN1dC1tb2RlbC15LW91dHB1dC0yMC1wZXJjZW50LW1hcmNoLWp1bmUtcmV1dGVycy9hbXAv?oc=5","Tesla China planned to cut Model Y production by at least 20% in March-June: Reuters  TESLARATI","Fri, 24 May 2024 12:44:18 GMT"
"Tesla’s 0.99% APR Financing For Tesla Model Y Stirring Up Consumer Demand (+ Chevy Equinox EV Potential & Hot Volvo EX30) - CleanTechnica","https://news.google.com/rss/articles/CBMibWh0dHBzOi8vY2xlYW50ZWNobmljYS5jb20vMjAyNC8wNS8yMC90ZXNsYXMtMC05OS1hcHItZmluYW5jaW5nLWZvci10ZXNsYS1tb2RlbC15LXN0aXJyaW5nLXVwLWNvbnN1bWVyLWRlbWFuZC_SAXFodHRwczovL2NsZWFudGVjaG5pY2EuY29tLzIwMjQvMDUvMjAvdGVzbGFzLTAtOTktYXByLWZpbmFuY2luZy1mb3ItdGVzbGEtbW9kZWwteS1zdGlycmluZy11cC1jb25zdW1lci1kZW1hbmQvYW1wLw?oc=5","Tesla’s 0.99% APR Financing For Tesla Model Y Stirring Up Consumer Demand (+ Chevy Equinox EV Potential & Hot Volvo EX30)  CleanTechnica","Mon, 20 May 2024 07:00:00 GMT"
"Tesla Reveals Model Y Has Extra Range—If You Pay for It - Autoweek","https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmF1dG93ZWVrLmNvbS9uZXdzL2E2MDY5OTk2MS8yMDI0LXRlc2xhLW1vZGVsLXktbG9uZy1yYW5nZS1yd2Qv0gEA?oc=5","Tesla Reveals Model Y Has Extra Range—If You Pay for It  Autoweek","Mon, 06 May 2024 07:00:00 GMT"
"Chevrolet Equinox EV vs. Tesla Model Y - CarsDirect","https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmNhcnNkaXJlY3QuY29tL2NvbXBhcmUvc3V2L2NoZXZyb2xldC1lcXVpbm94LWV2LXZzLXRlc2xhLW1vZGVsLXnSAQA?oc=5","Chevrolet Equinox EV vs. Tesla Model Y  CarsDirect","Wed, 29 May 2024 01:07:58 GMT"
"Tesla Slowed Down Model Y Production, What's Happening to the World's Best-Selling Car? - autoevolution","https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5hdXRvZXZvbHV0aW9uLmNvbS9uZXdzL3Rlc2xhLXNsb3dlZC1kb3duLW1vZGVsLXktcHJvZHVjdGlvbi13aGF0LXMtaGFwcGVuaW5nLXRvLXRoZS13b3JsZC1zLWJlc3Qtc2VsbGluZy1jYXItMjM0NDIzLmh0bWzSAQA?oc=5","Tesla Slowed Down Model Y Production, What's Happening to the World's Best-Selling Car?  autoevolution","Sat, 25 May 2024 21:04:07 GMT"
"Jeep compares electric Wagoneer S to Tesla's Model Y in new teaser video - Electrek.co","https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vZWxlY3RyZWsuY28vMjAyNC8wNS8yMi9qZWVwLWNvbXBhcmVzLWVsZWN0cmljLXdhZ29uZWVyLXMtdGVzbGEtbW9kZWwteS1uZXctdmlkZW8v0gEA?oc=5","Jeep compares electric Wagoneer S to Tesla's Model Y in new teaser video  Electrek.co","Wed, 22 May 2024 15:39:00 GMT"
"Here's How Much A 1-Year-Old Tesla Model Y Costs - TopSpeed","https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LnRvcHNwZWVkLmNvbS9ob3ctbXVjaC0xLXllYXItb2xkLXRlc2xhLW1vZGVsLXktY29zdHMv0gEA?oc=5","Here's How Much A 1-Year-Old Tesla Model Y Costs  TopSpeed","Sat, 25 May 2024 12:00:00 GMT"
"NIO undercuts Tesla Model Y with new $30,000 Onvo brand EV - Electrek.co","https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vZWxlY3RyZWsuY28vMjAyNC8wNS8xNS9uaW8tdW5kZXJjdXRzLXRlc2xhLW1vZGVsLXktbmV3LTMwMDAwLW9udm8tYnJhbmQtZXYv0gEA?oc=5","NIO undercuts Tesla Model Y with new $30,000 Onvo brand EV  Electrek.co","Wed, 15 May 2024 07:00:00 GMT"
"Tesla cancels cheapest Model Y, adds Long Range version - Green Car Reports","https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmdyZWVuY2FycmVwb3J0cy5jb20vbmV3cy8xMTQzMDc5X3Rlc2xhLWNhbmNlbHMtY2hlYXBlc3QtbW9kZWwteS1hZGRzLWxvbmctcmFuZ2UtdmVyc2lvbtIBAA?oc=5","Tesla cancels cheapest Model Y, adds Long Range version  Green Car Reports","Sat, 04 May 2024 07:00:00 GMT"
