股票代號,股票名稱,收盤價,月平均價
"030308","裕隆國票26購02","6.00","5.73"
"030309","台積電國票26購05","1.06","1.15"
"03030P","滬深2X群益23售09","","1.72"
"030310","台亞國票26購01","1.44","1.64"
"030311","興富發國票26購01","","1.93"
"030312","三商壽國票25購01","0.80","0.98"
"030313","大立光國票26購03","","2.31"
"030314","智原國票26購02","","2.48"
"030315","總太國票26購01","0.76","0.82"
"030316","嘉基國票27購01","1.41","1.22"
"030317","力智國票27購01","1.53","1.84"
"030318","裕隆麥證25購03","4.97","5.06"
"030319","世芯麥證25購01","3.51","3.55"
"03031Q","恒指麥證23售02","0.88","0.99"
"030320","祥碩麥證25購01","1.58","1.81"
"030321","聯電中信27購01","","0.81"
"030322","潤泰全中信25購01","1.50","1.54"
"030323","智原中信26購01","1.32","1.39"
"030324","世芯中信27購01","1.58","1.68"
"030325","世芯國泰27購01","0.95","1.02"
"030326","世芯統一27購04","1.07","1.07"
"030327","世芯統一27購05","1.50","1.53"
"030328","世芯統一28購01","0.95","0.98"
"030329","國巨兆豐25購02","1.42","1.34"
"03032Q","恒指麥證26售02","","1.84"
"030330","智原兆豐27購01","1.24","1.24"
"030331","嘉澤兆豐25購01","1.51","1.37"
"030332","日月光兆豐27購01","1.33","1.40"
"030333","力智兆豐26購02","1.40","1.67"
"030334","智原元富27購02","1.31","1.23"
"030335","華擎元富28購01","2.10","1.41"
"030336","世芯元富25購04","1.61","1.83"
"030337","世芯元富28購01","1.41","1.56"
"030338","新唐元富28購01","","1.93"
"030339","裕隆康和25購01","2.31","2.26"
"03033P","宏達電群益23售07","0.81","0.86"
"03033Q","恒指麥證24售02","","0.47"
"030340","聯電康和25購05","0.68","0.76"
"030341","潤泰全康和25購01","1.38","1.39"
"030342","大立光康和25購03","0.65","0.67"
"030343","世芯康和25購02","1.29","1.47"
"030344","南電康和25購05","1.01","1.32"
"030345","光寶科永豐25購01","0.88","0.86"
"030346","興富發永豐25購01","","1.07"
"030347","世芯永豐26購01","1.56","1.73"
"030348","世芯永豐28購01","1.82","1.98"
"030349","拓凱永豐26購01","1.52","1.49"
"03034P","世芯群益23售04","1.42","1.45"
"030350","S&P反1富邦25購01","0.68","0.70"
"030351","裕隆富邦26購01","1.89","1.81"
"030352","鴻海富邦26購02","","0.74"
"030353","瑞昱富邦25購01","0.38","0.45"
"030354","大立光富邦29購02","0.98","0.98"
"030355","日月光富邦26購03","0.87","0.92"
"030358","遠東新凱基25購01","2.00","2.01"
"030359","三陽凱基25購02","1.54","1.70"
"03035P","威鋒電群益23售01","","0.85"
"03035X","元展32","","14.53"
"030360","鴻海凱基25購07","1.00","1.07"
"030361","國巨凱基25購02","","1.97"
"030362","佳世達凱基25購01","","0.86"
"030363","萬海凱基25購08","","1.83"
"030364","慧洋凱基25購03","2.10","1.81"
"030365","美食凱基26購01","3.38","3.13"
"030366","王品凱基26購01","","1.29"
"030367","智原凱基26購01","1.45","1.51"
"030368","群創凱基25購03","0.89","1.09"
"030369","世芯凱基25購01","1.44","1.55"
"03036P","儒鴻麥證23售01","0.77","0.88"
"030370","世芯凱基26購04","1.68","1.71"
"030371","貿聯凱基25購02","2.11","2.07"
"030372","祥碩凱基26購03","1.51","1.79"
"030373","威鋒電凱基25購02","","2.53"
"030374","南電凱基26購02","","7.31"
"030375","臺股指凱基29購15","","2.61"
"030376","臺股指凱基29購16","","2.58"
"030377","A50正2群益25購02","2.12","2.09"
"030378","道瓊反群益29購05","0.83","0.83"
"030379","亞泥群益25購01","1.29","1.38"
"03037P","中興電凱基24售05","0.17","0.28"
"030380","台塑群益25購01","1.19","1.19"
"030381","遠東新群益25購01","1.11","1.14"
"030382","和大群益25購01","1.96","1.92"
"030383","華新群益25購02","3.48","3.54"
"030384","華新群益25購03","5.25","5.09"
"030385","聯電群益25購05","","1.97"
"030386","金寶群益25購02","","0.88"
"030387","仁寶群益25購01","","1.04"
"030389","晶豪科群益25購02","","1.38"
"03038P","怡利電凱基23售02","","0.70"
"030390","大立光群益25購12","1.88","1.78"
"030391","智原群益25購04","1.98","2.13"
"030392","世芯群益25購02","2.10","2.39"
"030393","世芯群益25購03","2.66","3.10"
"030394","致伸群益26購01","2.00","2.07"
"030395","啟碁群益25購02","2.06","2.54"
"030396","道瓊反元大26購02","0.59","0.61"
"030397","道瓊反元大27購02","","0.57"
"030398","SGBR2X元大27購02","0.87","0.80"
"030399","SGBR2X元大28購01","1.06","0.97"
"03039P","華擎凱基23售01","0.06","0.10"
"030400","FB越南元大27購01","1.00","1.05"
"030401","中砂元大25購06","1.42","1.49"
"030402","華新元大25購09","2.69","2.72"
"030403","華新元大25購10","2.89","2.98"
"030404","華新元大29購04","2.65","2.71"
"030405","國巨元大25購09","2.27","2.15"
"030406","台積電元大29購30","","1.33"
"030409","陽明元大25購13","1.95","2.04"
"03040P","智伸科凱基23售01","","0.69"
"030410","慧洋元大25購06","1.82","1.56"
"030411","智原元大25購05","1.63","1.75"
"030412","欣興元大25購12","","6.70"
